A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG
2565,31,28,125,95,111,39,85,163,224,89,69,95,133,10,13,1,1,3,2,1,1,0,0,2,2,1,0,0,0,1,0,1
2566,70,36,103,69,61,35,73,185,160,121,41,114,114,7,16,1,2,0,2,2,0,0,1,1,2,2,1,1,2,1,1,0
2567,76,33,167,66,61,37,102,189,265,163,93,55,130,7,17,0,1,2,2,1,0,0,0,2,1,2,1,1,4,1,1,1
2568,58,37,92,95,112,35,43,170,213,87,75,217,139,7,15,0,1,0,1,2,1,0,1,0,0,2,1,1,4,1,1,1
2569,85,30,156,75,65,39,67,162,143,105,43,212,107,7,23,1,0,2,2,2,0,0,0,0,1,2,1,1,2,1,1,0
2570,85,21,175,73,74,38,40,200,242,83,56,130,115,8,18,1,2,0,2,2,0,0,0,0,2,0,2,1,0,1,1,0
2571,25,22,108,75,71,35,75,156,194,178,66,238,139,7,21,0,1,3,2,2,0,1,0,2,1,2,1,1,2,1,1,1
2572,19,32,165,84,67,36,52,189,160,59,91,200,133,9,15,1,0,2,0,2,0,0,0,2,0,0,2,1,0,1,1,0
2573,58,39,143,100,94,40,44,185,106,65,96,197,104,8,19,0,2,0,1,2,0,1,0,2,1,2,1,1,4,1,1,0
2574,72,27,158,63,117,39,53,163,223,63,43,77,81,5,13,1,0,2,3,2,0,0,1,0,1,2,1,1,4,1,1,0
2575,33,35,99,88,61,35,119,182,129,139,68,214,117,9,25,1,1,3,2,1,0,0,0,2,2,2,1,1,2,1,1,1
2576,79,23,122,115,98,40,71,149,263,67,34,184,132,4,21,1,0,0,2,2,0,0,0,0,2,2,1,1,2,1,1,0
2577,65,24,102,65,82,35,89,170,212,133,55,98,114,5,15,1,1,3,1,2,0,0,0,0,2,2,1,1,4,1,1,1
2578,47,35,140,60,112,38,66,184,189,105,82,73,75,5,22,1,0,1,2,2,1,0,1,2,1,2,1,1,2,1,1,0
2579,29,37,121,98,67,38,74,200,238,139,92,129,114,6,18,0,2,0,1,2,0,0,0,0,2,0,2,1,0,1,1,0
2580,52,23,164,60,103,38,42,159,222,78,40,62,101,5,16,0,1,0,2,1,0,0,0,0,1,2,1,1,4,1,1,1
2581,28,29,113,110,76,40,43,155,297,71,62,141,137,10,21,0,0,2,2,1,0,1,0,1,1,1,0,0,1,0,0,0
2582,81,34,124,99,74,37,46,153,205,60,70,184,72,6,22,0,2,3,1,2,0,0,0,0,1,0,2,1,3,0,0,0
2583,67,16,172,116,83,40,116,142,256,90,69,64,71,6,13,0,2,2,2,0,1,1,0,0,2,2,1,1,4,1,1,0
2584,38,39,159,62,109,39,42,169,191,188,75,136,89,6,14,0,2,1,2,2,0,0,1,0,0,2,1,1,4,1,1,0
2585,86,27,129,60,103,39,120,157,192,101,33,200,108,9,15,0,2,3,0,0,0,0,0,2,1,0,2,1,0,1,1,0
2586,65,16,143,60,54,36,98,198,233,116,40,173,81,5,16,1,2,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0
2587,37,33,133,98,85,36,113,145,211,134,56,118,130,4,18,1,0,0,2,0,1,0,1,0,2,0,2,1,3,0,0,0
2588,84,40,151,80,103,39,40,159,150,124,37,140,105,10,14,0,2,1,0,2,0,0,0,0,2,0,2,1,0,1,1,0
2589,61,16,157,104,85,35,67,174,179,185,50,109,78,9,20,0,1,3,2,1,0,0,0,0,1,1,0,0,0,1,0,1
2590,50,17,122,89,118,39,98,158,209,172,34,59,113,6,21,0,1,2,2,0,0,0,0,2,2,0,2,1,0,1,1,1
2591,90,20,166,91,88,37,92,165,137,55,91,100,122,10,14,0,2,1,2,0,1,0,1,2,0,1,0,0,0,1,0,0
2592,78,17,145,92,119,36,49,174,300,130,61,113,99,7,16,0,0,2,1,2,0,0,1,0,1,0,2,1,0,1,1,0
2593,26,24,125,107,53,36,110,151,121,62,87,155,135,7,24,1,2,1,2,0,0,0,1,0,2,2,1,1,4,1,1,0
2594,85,38,143,81,114,40,42,147,189,55,56,248,107,8,16,0,2,0,1,1,0,0,0,0,1,0,2,1,3,0,0,0
2595,52,20,108,89,89,36,46,196,281,170,55,105,107,7,18,0,2,0,3,2,0,0,0,0,0,1,0,0,0,1,0,0
2596,82,37,132,113,86,39,48,196,267,94,69,209,102,7,17,0,2,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0
2597,25,30,101,105,116,36,108,176,234,155,58,200,140,6,22,1,1,0,0,2,0,0,1,2,1,2,1,1,4,1,1,1
2598,62,31,100,63,80,36,52,188,209,75,36,231,124,9,14,0,2,2,2,2,0,0,1,0,1,0,2,1,3,0,0,0
2599,64,33,159,82,96,40,79,149,267,53,50,250,92,5,23,0,2,0,2,1,1,0,0,0,1,0,2,1,3,0,0,0
2600,57,17,101,114,76,39,101,160,206,86,96,140,139,9,12,0,2,2,2,1,1,0,0,0,0,0,2,1,0,1,1,0
2601,71,32,180,103,100,35,101,188,223,70,39,134,83,9,17,1,2,2,2,2,0,0,0,2,1,2,1,1,4,1,1,0
2602,63,21,130,84,69,36,49,180,123,77,91,156,118,10,22,0,2,2,1,0,0,0,0,0,1,2,1,1,2,1,1,0
2603,64,23,114,71,62,36,50,184,140,81,37,247,114,7,17,1,2,0,1,1,1,0,0,2,1,2,1,1,2,1,1,0
2604,32,34,92,76,112,36,115,181,150,152,33,238,96,5,15,0,2,1,2,2,0,1,0,0,1,1,0,0,0,1,0,0
2605,36,26,92,112,93,37,101,168,266,75,58,128,136,4,13,0,2,1,1,2,1,0,1,2,1,1,0,0,0,1,0,0
2606,43,19,173,74,73,39,116,170,201,194,41,158,118,10,20,1,2,1,2,2,0,0,0,0,0,2,1,1,4,1,1,0
2607,69,17,117,69,52,36,95,179,213,165,80,151,71,9,17,0,1,2,2,2,1,1,1,0,1,0,2,1,3,0,0,1
2608,39,25,112,94,59,37,88,146,270,142,48,197,129,9,24,1,0,2,2,0,1,0,0,1,2,1,0,0,0,1,0,0
2609,38,39,137,114,114,35,55,173,168,79,60,230,135,7,12,0,2,0,1,2,0,0,1,0,0,0,2,1,0,1,1,0
2610,68,18,156,111,98,35,112,173,286,170,55,192,128,4,19,0,0,2,3,0,0,0,0,0,0,2,1,1,4,1,1,0
2611,55,19,131,111,107,40,113,169,252,54,35,78,129,10,21,1,0,0,2,2,1,0,0,2,1,1,0,0,0,1,0,0
2612,37,15,177,88,51,40,48,143,193,167,58,119,91,4,18,0,2,1,1,2,1,0,1,0,2,1,0,0,0,1,0,0
2613,46,32,129,71,115,40,72,180,219,55,46,129,115,8,22,0,0,2,0,2,0,0,0,2,1,0,2,1,3,0,0,0
2614,68,26,95,60,80,37,74,169,124,155,49,114,122,5,22,0,2,2,2,1,0,0,0,0,2,1,0,0,1,0,0,0
2615,21,27,109,60,117,35,114,164,300,173,71,239,88,5,17,1,2,1,3,1,0,0,0,0,2,0,2,1,3,0,0,0
2616,72,23,100,69,86,40,78,153,251,187,76,247,118,8,23,0,1,2,2,2,0,0,0,0,2,2,1,1,2,1,1,1
2617,88,16,116,77,73,38,116,163,289,119,99,65,86,10,22,1,2,2,3,2,0,0,1,0,2,1,0,0,0,1,0,0
2618,45,19,110,106,93,40,64,182,203,187,31,103,96,6,22,0,2,1,2,2,0,1,0,1,1,0,2,1,3,0,0,0
2619,21,27,102,61,90,35,119,170,142,155,66,146,88,10,12,0,0,2,1,2,0,0,0,0,2,1,0,0,1,0,0,0
2620,39,30,175,108,100,38,95,192,158,93,48,56,99,8,21,0,2,0,0,2,0,0,1,2,2,0,2,1,0,1,1,0
2621,62,30,124,67,91,37,87,178,153,105,70,109,115,10,24,1,2,1,2,2,0,0,0,0,1,1,0,0,1,0,0,0
2622,84,38,136,81,89,38,49,167,178,181,45,59,133,9,16,0,0,2,2,2,0,0,1,0,1,0,2,1,3,0,0,0
2623,83,17,175,81,97,35,80,164,253,62,89,102,101,8,15,0,2,2,2,2,0,0,0,0,2,2,1,1,4,1,1,0
2624,51,36,117,85,53,36,98,158,153,171,86,57,122,8,18,1,1,1,2,2,1,0,0,0,1,0,2,1,3,0,0,1
2625,72,18,110,85,109,38,67,143,288,68,93,175,92,4,13,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0
2626,18,25,107,68,88,35,80,173,174,139,34,134,105,10,12,0,2,0,0,0,1,0,0,2,2,1,0,0,0,1,0,0
2627,89,37,120,80,54,40,105,171,192,58,47,139,79,10,18,1,2,1,2,2,0,0,0,2,0,1,0,0,0,1,0,0
2628,55,40,149,90,55,36,90,164,271,95,42,86,128,5,19,0,2,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0
2629,23,28,126,111,63,37,101,194,236,105,65,181,98,6,16,0,1,2,2,2,1,1,0,0,1,1,0,0,0,1,0,1
2630,42,17,110,102,119,37,69,161,141,123,48,133,80,7,19,0,1,0,2,0,0,0,0,0,2,0,2,1,3,0,0,1
2631,34,30,103,65,61,39,79,192,256,89,60,153,107,7,15,0,2,0,3,1,1,0,0,0,1,0,2,1,3,0,0,0
2632,78,36,178,115,111,37,79,167,178,116,52,72,101,7,19,1,2,1,2,2,1,1,1,0,2,2,1,1,2,1,1,0
2633,29,29,180,73,76,39,108,194,180,162,61,186,121,6,22,0,0,1,2,2,1,0,0,0,1,2,1,1,4,1,1,0
2634,23,24,149,92,103,37,101,190,157,132,40,215,70,7,14,0,2,0,2,2,0,0,1,2,2,0,2,1,3,0,0,0
2635,44,23,112,66,61,37,54,192,185,111,95,94,83,6,18,0,1,0,2,2,0,0,1,2,1,0,2,1,3,0,0,1
2636,25,25,118,83,57,37,42,157,290,183,34,222,72,7,17,0,2,3,2,2,0,0,0,0,2,2,1,1,4,1,1,0
2637,82,30,136,68,65,39,63,192,276,78,42,195,99,7,12,1,2,2,2,2,0,0,0,0,2,0,2,1,3,0,0,0
2638,74,24,119,70,101,40,80,146,206,68,93,95,100,6,16,0,2,0,2,0,0,0,1,2,1,2,1,1,4,1,1,0
2639,57,31,179,115,75,39,102,150,238,163,64,51,70,5,25,1,1,0,0,2,1,1,0,0,2,0,2,1,0,1,1,1
2640,31,33,173,82,57,38,87,181,201,157,58,225,115,9,25,0,2,0,2,2,0,0,0,0,2,0,2,1,3,0,0,0
2641,52,16,127,107,94,35,100,150,153,192,52,66,83,9,25,0,2,1,1,2,0,1,1,2,1,0,2,1,0,1,1,0
2642,65,38,172,110,68,35,87,194,129,106,45,167,105,6,22,1,0,2,2,0,1,1,0,2,1,0,2,1,3,0,0,0
2643,73,37,116,61,66,40,86,148,293,87,55,65,115,6,23,1,0,2,2,2,0,1,0,0,2,1,0,0,0,1,0,0
2644,66,16,178,74,114,35,95,174,164,70,32,159,124,8,15,0,2,1,2,2,1,0,0,1,0,2,1,1,2,1,1,0
2645,30,20,176,94,78,37,115,195,157,100,52,222,105,4,24,0,2,2,2,0,1,0,1,0,2,2,1,1,2,1,1,0
2646,78,33,104,95,63,40,47,176,284,69,86,97,112,10,17,1,2,2,2,2,0,0,0,2,1,1,0,0,1,0,0,0
2647,66,22,148,111,66,35,117,162,136,51,38,201,112,4,20,1,2,1,0,1,1,1,0,0,2,2,1,1,2,1,1,0
2648,63,40,92,113,62,39,57,172,217,81,80,144,84,5,15,1,2,1,2,0,1,1,1,2,2,0,2,1,0,1,1,0
2649,79,17,99,87,112,38,62,140,281,160,62,242,107,5,13,1,1,0,2,1,1,0,0,0,0,1,0,0,1,0,0,1
2650,25,40,168,98,82,36,108,159,172,141,53,141,113,5,23,0,1,0,1,1,1,0,0,2,0,2,1,1,2,1,1,1
2651,60,28,169,103,78,38,104,144,168,181,79,210,124,4,19,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1
2652,37,39,106,63,86,35,85,168,251,56,81,155,124,5,12,0,2,2,1,1,0,0,0,2,0,1,0,0,0,1,0,0
2653,56,30,172,69,95,40,105,165,162,52,100,152,127,9,17,0,2,2,2,0,1,0,0,0,2,2,1,1,4,1,1,0
2654,66,15,100,65,73,35,119,190,193,74,67,181,126,5,15,1,1,0,1,1,0,0,1,0,2,0,2,1,0,1,1,1
2655,81,35,137,116,63,39,108,177,278,161,73,50,125,10,17,0,2,0,0,1,0,0,0,0,2,2,1,1,4,1,1,0
2656,79,17,94,89,54,38,61,142,114,58,85,82,71,6,14,0,2,1,2,2,0,0,1,2,2,0,2,1,3,0,0,0
2657,71,36,158,113,102,39,104,160,274,75,95,239,103,9,20,0,1,2,3,2,1,0,0,0,1,2,1,1,2,1,1,1
2658,26,40,153,105,79,39,51,198,300,113,74,180,118,9,14,1,2,2,1,2,0,0,0,0,1,2,1,1,4,1,1,0
2659,54,32,103,94,109,36,58,152,273,67,81,150,133,6,14,1,2,2,1,2,0,0,1,2,1,2,1,1,2,1,1,0
2660,66,23,139,108,77,39,61,170,129,140,30,94,77,10,16,0,2,2,2,2,1,0,0,0,1,2,1,1,4,1,1,0
2661,58,20,115,102,75,39,94,156,212,51,93,70,138,4,18,1,0,1,0,1,0,0,0,2,2,1,0,0,0,1,0,0
2662,34,37,161,69,67,36,101,174,178,50,37,241,127,6,25,0,1,2,2,2,0,0,1,2,2,0,2,1,3,0,0,1
2663,38,35,158,117,85,37,90,162,247,97,72,122,112,5,25,0,2,1,3,0,0,0,0,2,1,0,2,1,0,1,1,0
2664,68,39,96,120,57,37,87,142,156,156,37,106,131,6,17,1,1,0,2,2,0,1,0,0,0,2,1,1,2,1,1,1
2665,76,15,105,112,67,40,56,192,276,124,58,217,121,9,25,0,2,1,0,1,1,1,0,0,2,2,1,1,4,1,1,0
2666,56,35,144,91,107,36,52,194,155,75,42,111,102,8,18,0,1,1,1,2,1,0,0,1,2,0,2,1,0,1,1,1
2667,72,24,167,101,81,40,67,184,155,55,30,220,89,6,20,1,2,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0
2668,58,20,145,101,98,40,106,141,252,75,58,170,128,4,14,1,2,2,2,0,0,0,0,2,0,1,0,0,0,1,0,0
2669,56,37,93,62,97,39,44,142,108,92,79,223,129,5,16,1,0,2,2,1,1,0,0,2,1,1,0,0,0,1,0,0
2670,30,26,137,115,120,40,99,159,121,171,66,249,132,9,16,1,2,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0
2671,81,18,106,85,114,35,54,187,176,178,30,73,125,9,14,0,0,1,2,2,1,0,0,2,1,1,0,0,0,1,0,0
2672,28,27,125,74,82,38,120,192,264,58,98,201,106,5,22,0,2,2,0,0,0,0,1,2,2,0,2,1,0,1,1,0
2673,36,31,159,76,99,35,83,183,223,76,77,187,129,4,21,1,2,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0
2674,28,22,169,86,53,35,85,196,127,120,84,148,120,6,20,0,2,2,2,1,0,1,0,0,2,2,1,1,4,1,1,0
2675,63,40,127,77,85,39,68,148,241,166,95,117,98,10,24,0,0,0,2,0,0,0,1,0,1,2,1,1,2,1,1,0
2676,62,34,151,110,77,38,107,187,257,167,92,106,78,5,20,0,2,2,2,2,0,1,1,1,2,1,0,0,0,1,0,0
2677,18,17,137,78,52,40,88,143,266,52,51,221,109,5,17,0,0,1,2,1,1,0,1,0,1,0,2,1,3,0,0,0
2678,57,26,99,71,55,38,82,164,284,179,40,250,137,8,16,1,1,0,1,0,0,0,1,0,1,2,1,1,4,1,1,1
2679,36,21,125,83,94,40,107,191,232,173,58,124,112,4,15,1,0,2,2,2,1,1,1,1,1,2,1,1,2,1,1,0
2680,89,26,118,64,72,37,116,189,111,123,32,156,92,9,15,1,2,2,2,1,0,0,1,0,2,2,1,1,2,1,1,0
2681,89,16,167,83,56,36,59,197,262,130,74,97,77,9,16,0,2,0,3,0,1,1,0,0,2,0,2,1,3,0,0,0
2682,78,38,93,86,110,39,57,140,268,114,32,126,133,10,13,0,0,2,2,2,0,0,0,0,0,0,2,1,3,0,0,0
2683,29,28,133,107,114,40,103,178,162,171,97,204,92,6,19,0,0,1,0,2,0,1,0,1,2,2,1,1,4,1,1,0
2684,78,36,145,89,55,40,88,191,269,195,43,79,125,6,23,0,0,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0
2685,50,37,131,74,73,38,81,151,224,183,94,95,83,5,18,1,2,2,2,2,0,0,0,2,2,0,2,1,3,0,0,0
2686,62,19,102,106,86,39,51,179,292,151,86,189,86,7,25,0,0,0,2,1,0,0,1,1,2,2,1,1,4,1,1,0
2687,86,23,135,118,94,40,118,179,292,91,44,169,89,8,25,1,2,3,2,0,0,0,1,0,1,2,1,1,2,1,1,0
2688,25,35,171,97,100,37,75,199,205,160,89,109,81,8,18,0,0,1,1,1,0,0,1,0,0,2,1,1,2,1,1,0
2689,42,25,122,103,94,35,47,163,270,153,83,196,110,8,12,1,2,2,1,0,0,1,0,0,0,0,2,1,0,1,1,0
2690,63,19,110,93,112,40,67,193,287,53,31,153,101,9,19,1,2,1,1,1,0,0,0,2,1,2,1,1,2,1,1,0
2691,47,17,169,86,78,38,99,148,247,148,93,117,106,5,22,1,2,0,2,2,0,0,0,0,1,2,1,1,4,1,1,0
2692,64,31,168,79,74,37,88,185,197,181,57,231,87,4,12,0,2,2,1,2,1,0,1,2,1,1,0,0,0,1,0,0
2693,66,16,146,100,59,39,77,159,218,114,96,211,98,4,25,0,2,0,2,0,0,0,1,0,1,0,2,1,3,0,0,0
2694,64,38,158,91,84,40,119,144,290,90,32,167,76,8,20,1,2,2,1,2,1,0,1,0,1,1,0,0,0,1,0,0
2695,35,15,159,63,104,37,97,159,218,196,82,173,109,9,17,1,2,0,2,1,0,0,0,0,2,0,2,1,0,1,1,0
2696,83,21,156,64,74,37,44,160,251,198,55,166,75,7,19,1,2,0,2,1,0,0,1,2,0,1,0,0,0,1,0,0
2697,85,28,137,112,94,37,85,141,299,165,33,56,89,10,12,1,2,1,1,2,0,0,0,0,0,0,2,1,3,0,0,0
2698,50,19,165,117,61,37,114,160,262,184,45,131,124,10,17,1,0,2,0,1,0,0,0,2,0,1,0,0,0,1,0,0
2699,53,33,122,67,53,37,41,181,140,113,83,219,125,9,24,0,2,2,0,2,0,0,1,2,1,0,2,1,0,1,1,0
2700,36,25,125,81,116,37,64,163,221,51,45,245,122,7,24,0,2,0,1,0,0,0,1,0,2,2,1,1,2,1,1,0
2701,45,37,122,101,66,36,40,148,115,164,60,102,102,6,12,0,2,2,0,2,0,0,0,0,2,0,2,1,3,0,0,0
2702,57,39,120,66,114,39,108,178,221,177,31,185,91,7,14,1,0,2,1,2,1,0,0,0,1,2,1,1,4,1,1,0
2703,32,16,110,81,102,35,79,194,179,128,74,199,119,8,13,0,1,2,1,2,0,0,0,2,2,1,0,0,0,1,0,1
2704,58,22,116,105,106,39,107,169,205,150,83,75,96,6,25,1,0,1,0,2,1,0,1,2,1,1,0,0,0,1,0,0
2705,56,23,180,89,77,38,108,193,105,168,88,240,117,8,13,1,2,2,0,2,0,0,1,0,2,2,1,1,4,1,1,0
2706,19,17,161,96,65,38,108,157,119,123,88,223,135,9,15,1,1,1,1,2,0,0,1,0,2,0,2,1,3,0,0,1
2707,80,16,151,75,70,39,55,197,283,58,51,166,82,9,18,0,0,0,3,2,1,0,0,0,1,0,2,1,0,1,1,0
2708,46,21,115,74,91,37,93,183,235,72,63,130,71,4,23,0,2,2,2,2,0,0,0,2,2,0,2,1,3,0,0,0
2709,83,19,155,64,103,36,102,182,196,63,85,221,115,8,14,0,1,2,3,0,1,0,1,2,2,2,1,1,4,1,1,1
2710,68,35,101,62,81,35,57,149,105,103,63,239,140,6,18,1,2,2,2,0,1,0,1,0,2,2,1,1,2,1,1,0
2711,27,40,111,82,87,40,56,184,107,173,55,213,80,8,20,0,0,0,1,0,1,0,1,0,2,0,2,1,3,0,0,0
2712,31,19,106,120,119,40,43,180,289,94,100,90,95,5,25,0,2,2,0,1,0,0,1,0,2,0,2,1,0,1,1,0
2713,68,34,96,69,87,37,48,187,113,65,74,160,132,9,24,1,0,0,0,2,0,0,0,0,1,2,1,1,4,1,1,0
2714,90,27,157,64,103,39,70,160,230,151,50,131,118,6,15,1,2,2,2,2,1,0,0,0,2,0,2,1,0,1,1,0
2715,56,35,126,82,109,40,44,161,229,144,72,204,132,7,18,0,1,1,3,2,0,0,0,0,0,2,1,1,2,1,1,1
2716,45,34,127,74,96,39,55,156,121,158,68,119,90,4,12,0,2,0,2,2,0,0,0,0,1,2,1,1,4,1,1,0
2717,20,20,100,77,61,36,81,144,184,185,42,147,118,7,13,0,2,3,2,2,0,0,0,0,0,0,2,1,3,0,0,0
2718,87,34,90,84,102,36,80,145,297,74,71,218,78,8,19,0,2,0,0,0,0,0,1,2,2,0,2,1,3,0,0,0
2719,44,32,114,67,82,39,119,149,298,111,74,54,90,7,14,0,2,2,0,0,0,1,1,2,2,2,1,1,4,1,1,0
2720,19,39,131,90,77,37,69,182,233,126,80,234,122,6,16,0,2,0,0,2,1,0,0,0,2,0,2,1,0,1,1,0
2721,55,16,141,80,52,37,65,141,277,195,46,206,124,5,19,0,1,2,0,0,0,0,0,2,1,0,2,1,0,1,1,1
2722,20,39,113,61,75,37,88,146,143,99,92,171,110,7,16,1,2,0,2,2,0,0,1,0,0,0,2,1,3,0,0,0
2723,33,40,142,81,103,40,70,185,107,83,36,61,75,8,23,0,1,2,2,1,1,0,0,0,2,2,1,1,2,1,1,1
2724,57,20,145,67,89,35,89,143,123,149,84,202,70,7,12,1,0,0,3,1,0,0,1,0,0,0,2,1,3,0,0,0
2725,19,23,152,82,115,35,54,176,126,163,33,211,133,7,24,1,0,2,1,1,0,1,0,0,1,2,1,1,4,1,1,0
2726,58,39,170,91,117,37,91,158,280,130,60,124,74,10,13,1,0,1,3,2,1,0,0,1,1,1,0,0,0,1,0,0
2727,29,17,97,67,96,39,77,192,150,61,85,73,95,6,21,0,1,0,3,2,1,1,0,0,1,0,2,1,0,1,1,1
2728,52,15,148,63,51,36,77,167,255,126,33,164,70,10,22,1,1,2,1,2,1,1,0,0,2,0,2,1,0,1,1,1
2729,82,15,134,89,91,38,99,159,286,124,69,162,70,10,14,0,2,1,1,0,1,0,1,0,1,2,1,1,4,1,1,0
2730,72,33,116,78,83,36,59,199,168,104,76,240,107,8,21,0,2,2,2,1,0,0,0,2,1,1,0,0,0,1,0,0
2731,62,19,141,82,70,36,83,169,300,141,79,112,110,10,13,0,0,1,2,0,1,0,0,2,0,2,1,1,2,1,1,0
2732,79,27,107,77,93,38,102,181,124,137,52,187,97,8,20,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0
2733,66,33,180,112,51,37,89,177,143,58,80,182,74,5,16,0,1,1,0,0,0,0,0,1,1,0,2,1,3,0,0,1
2734,42,26,175,88,108,36,61,141,274,52,67,138,90,10,12,0,0,2,1,0,0,0,1,0,1,0,2,1,0,1,1,0
2735,40,30,105,82,65,38,111,142,218,167,38,230,132,6,22,1,1,2,2,2,0,0,0,0,1,0,2,1,3,0,0,1
2736,41,39,155,92,69,40,93,199,208,185,90,77,81,9,22,1,0,2,2,2,0,0,0,0,2,2,1,1,2,1,1,0
2737,55,39,94,111,75,39,48,186,219,79,50,242,75,6,22,0,2,2,2,1,0,0,0,0,2,2,1,1,2,1,1,0
2738,45,33,171,106,65,39,54,181,112,116,38,94,98,4,24,1,2,3,1,2,0,0,1,1,2,1,0,0,0,1,0,0
2739,38,17,92,77,119,39,87,188,280,104,54,243,130,5,23,1,2,2,1,1,0,0,0,0,1,0,2,1,3,0,0,0
2740,71,26,180,113,72,37,59,178,152,172,65,226,104,5,19,0,0,3,2,2,0,0,0,0,1,2,1,1,4,1,1,0
2741,35,19,170,103,91,36,74,164,136,92,72,160,121,8,14,0,2,1,1,2,0,1,0,2,1,2,1,1,4,1,1,0
2742,53,16,169,92,86,36,106,141,290,120,57,217,102,8,22,1,0,0,2,2,0,0,1,2,1,2,1,1,2,1,1,0
2743,62,36,159,66,55,35,99,178,293,111,93,243,94,5,20,1,1,0,0,2,0,0,1,0,1,0,2,1,3,0,0,1
2744,90,21,96,110,86,39,73,154,214,159,74,173,83,6,20,1,0,2,2,2,0,0,1,0,2,0,2,1,3,0,0,0
2745,70,27,139,87,71,37,112,142,139,78,85,140,122,4,23,1,0,2,1,0,0,0,0,2,1,2,1,1,4,1,1,0
2746,47,39,103,60,55,38,93,144,177,164,77,185,130,8,17,1,2,2,2,2,0,0,1,2,2,2,1,1,4,1,1,0
2747,77,29,127,115,81,37,51,193,288,51,37,76,82,4,15,1,0,0,2,1,0,0,1,0,2,0,2,1,0,1,1,0
2748,49,36,168,98,66,36,58,179,194,139,43,194,84,5,23,1,2,1,2,0,0,0,0,0,2,1,0,0,0,1,0,0
2749,84,17,136,93,87,39,119,175,233,154,44,245,124,6,23,0,0,2,3,2,0,0,0,0,1,0,2,1,3,0,0,0
2750,84,35,122,98,66,35,65,189,124,106,68,221,122,4,20,0,1,0,2,2,1,1,0,0,2,1,0,0,0,1,0,1
2751,45,34,132,78,86,40,62,190,202,91,54,80,116,9,22,1,2,2,2,2,0,0,0,2,1,2,1,1,2,1,1,0
2752,61,19,180,90,72,37,72,179,145,98,92,54,114,7,20,0,2,2,2,2,0,0,0,1,0,2,1,1,2,1,1,0
2753,58,38,118,72,98,35,96,194,258,67,88,109,133,5,13,1,2,0,0,2,0,1,0,1,2,0,2,1,3,0,0,0
2754,80,22,146,116,110,36,69,177,201,76,58,138,84,6,21,0,2,3,2,2,0,1,0,0,2,0,2,1,3,0,0,0
2755,40,36,94,83,98,38,62,176,290,167,32,196,90,5,17,0,2,0,2,2,0,0,1,0,0,1,0,0,0,1,0,0
2756,65,15,149,64,110,37,113,166,190,103,68,150,105,5,22,0,0,2,2,2,0,0,1,0,1,1,0,0,1,0,0,0
2757,49,22,159,82,81,40,75,144,193,199,51,91,139,4,15,1,1,2,3,1,0,0,0,1,2,0,2,1,3,0,0,1
2758,74,38,91,78,112,36,82,156,167,112,70,72,94,4,14,1,2,0,3,1,1,0,1,0,1,2,1,1,4,1,1,0
2759,50,32,159,60,56,39,105,177,138,141,49,170,113,7,21,1,0,2,2,0,0,0,1,0,2,0,2,1,3,0,0,0
2760,41,34,132,92,71,37,92,184,179,133,48,158,70,8,17,1,0,2,0,1,0,0,0,2,1,2,1,1,4,1,1,0
2761,56,30,93,118,55,35,99,180,263,110,42,126,111,7,22,0,2,2,2,1,1,0,1,2,1,2,1,1,2,1,1,0
2762,51,32,145,109,110,37,76,195,234,131,48,66,128,9,23,0,2,2,2,2,1,0,0,0,0,1,0,0,0,1,0,0
2763,73,34,148,115,63,36,100,151,184,91,95,163,102,6,25,0,2,2,1,1,0,1,1,1,2,2,1,1,4,1,1,0
2764,45,26,178,92,65,36,92,181,165,145,94,107,101,10,25,1,2,3,2,1,0,1,1,0,0,2,1,1,4,1,1,0
2765,54,27,98,91,52,35,51,170,154,123,32,226,135,6,19,0,2,0,2,1,0,0,0,0,0,0,2,1,3,0,0,0
2766,24,27,92,118,58,40,74,172,171,186,53,180,94,5,20,1,2,0,3,2,0,0,0,0,1,0,2,1,3,0,0,0
2767,85,24,179,87,96,36,106,182,141,168,67,145,109,4,23,0,2,0,2,2,0,1,0,0,1,1,0,0,0,1,0,0
2768,54,21,137,96,91,37,77,168,254,74,31,94,127,5,20,1,2,2,2,1,0,0,0,0,1,1,0,0,0,1,0,0
2769,73,39,132,100,91,40,63,177,229,190,85,84,133,8,13,0,2,2,0,2,1,0,1,0,2,1,0,0,1,0,0,0
2770,82,28,180,71,72,35,120,142,169,96,66,51,88,5,24,1,2,0,2,1,0,0,1,2,2,2,1,1,4,1,1,0
2771,82,38,90,68,52,36,79,177,231,171,33,96,97,9,19,1,1,0,2,2,0,0,0,0,1,1,0,0,1,0,0,1
